year,region,metro_area,female_employed_share,male_female_employed_share_gap,youth_employed_share,wage_worker_share,temporary_worker_ratio,daily_worker_ratio,self_employed_ratio,short_hours_worker_ratio,long_hours_worker_ratio,female_employed_share_score,male_female_employed_share_gap_score,youth_employed_share_score,wage_worker_share_score,temporary_worker_ratio_score,daily_worker_ratio_score,self_employed_ratio_score,short_hours_worker_ratio_score,long_hours_worker_ratio_score,employment_qol_proxy_score
2025,울산,비수도권,38.13708260105449,23.784417106033978,11.07205623901582,83.3626244874048,16.81312243702402,2.1675454012888107,14.879906268306971,19.15641476274165,10.720562390158172,0.0,0.0,35.33561674866597,95.72644099324444,32.40297601576306,59.39190491956441,94.96701826834928,100.0,18.68498607603493,48.50099366906912
2025,인천,수도권,43.065835605765486,13.868328788469034,11.745227892481497,81.51538761199845,17.686014803272304,3.1359563693026877,17.0821971172575,20.276587456174525,9.01830931047916,48.41028208602058,48.75413213483204,46.569962416222985,87.09037056179592,21.95888762295698,27.1889988088423,79.76173136681734,90.2848230832964,53.81275585577459,55.98132710406213
2025,전남,비수도권,43.57335127860028,12.85329744279946,9.320323014804844,62.88694481830418,18.13593539703903,3.4656796769851956,28.600269179004034,27.759084791386275,10.430686406460296,53.39510824012596,53.74470611551266,6.1015031955858605,0.0,16.575623164774157,16.22459519247971,0.2374531204476682,25.389663777485666,24.666879686081828,21.815059165832608
2025,전북,비수도권,44.318571918983864,11.397185032612429,10.02403020940611,68.86371438379678,15.27634740817027,3.089598352214212,25.231719876416065,26.364572605561275,9.23446618606248,60.71467596502753,60.90393005300785,17.845446708650815,27.94216789808164,50.790368163766324,28.730558044629518,23.494943661360296,37.48416731003476,49.35213301864009,39.6953767581332
2025,제주,비수도권,48.31829368334701,3.4454470877768664,10.746513535684986,68.82690730106646,17.883511074651356,3.199343724364233,25.922887612797375,26.33305988515177,11.156685808039375,100.0,100.0,29.90273905700893,27.770090043277406,19.595860295317664,25.081157085570226,18.72291106004957,37.757474859575844,9.685123951084051,40.94615070576485
2025,충남,비수도권,41.6900689303038,16.64539188154199,11.61603267806995,72.32575950982894,13.479703854991062,3.03803931580291,22.542762318100586,23.18100587184069,10.799080929282614,34.8974822398956,35.10022984489234,44.413864948628905,44.12767498887627,72.28706673201978,30.445068581532766,42.060325776857674,65.0950118035237,17.06467403270176,42.83237766099209
2025,충북,비수도권,43.9646378782727,12.13872832369942,12.886773206392382,72.90037402244134,17.035022101326078,2.3801428085685137,21.965317919075144,25.569534172050325,10.982658959537572,57.23833078516244,57.25800653563529,65.62084577655253,46.81407188140339,29.747964014380187,52.322329530458404,46.04717781370313,44.37947825844491,13.276349687516685,45.85606158702856
2026,강원,비수도권,44.74218432805521,10.596833130328868,10.475030450669914,72.75680064961429,18.473406414941127,2.7202598457166056,23.101908241981324,29.963459196102317,8.404384896467722,64.87540306956724,64.83899609403713,25.37204498477316,46.14284786226278,12.537809022661222,41.01229961991319,38.19981198664678,6.27128367589745,66.48172719440888,40.63691372335198
2026,경기,수도권,43.67069420986532,12.662942271880818,12.559005673206013,81.17881425663678,15.38694729548309,3.6117968039495905,17.327097137412846,21.060153306483045,8.47949417521978,54.351211894968564,54.68061963890039,60.15083861350449,85.51684675391239,49.46704922549425,11.36571164384209,78.0708670241591,83.48901302091627,64.93176879878527,60.22488073494253
2026,경남,비수도권,43.12673450508788,13.765032377428309,9.565217391304348,70.84181313598519,14.357076780758558,1.7946345975948197,25.32839962997225,23.792784458834408,11.174838112858463,49.00843194098542,49.26200648121242,10.188466845157535,37.1900344666297,61.78936879755966,71.79243733367005,22.827437191408023,59.789100276364074,9.310532186634532,41.239757279957935
2026,경북,비수도권,42.3728813559322,15.254237288135592,10.240112994350282,66.24293785310734,15.0894538606403,2.9661016949152543,28.15442561205273,27.730696798493405,9.416195856873824,41.60407559219302,41.94007764523641,21.451582953950975,15.689699898198036,53.02653473586913,32.83723526261139,3.3156929232999914,25.635870790816057,45.60195150061781,31.233635700310312
2026,광주,비수도권,44.69467301862278,10.610653962754444,12.083152880034648,79.94802944997835,17.193590298830667,3.637938501515808,17.929839757470766,21.784322217410136,8.921611087050673,64.40874631283755,64.77104362440286,52.20948407512269,79.76276918120217,27.850708023766103,10.496412699380187,73.90934836274836,77.20834832655336,55.80822466781881,56.269453919314685
2026,대구,비수도권,45.6913272374619,8.617345525076205,10.612357993904128,75.36713771127735,15.045719035743971,2.8539761706844,21.778886118038237,22.9980604045442,7.010252147409254,74.19789822004563,74.5714830561389,27.663860277985307,58.346509999195575,53.54981847017918,36.56578424510285,47.334359760486564,66.68168463648442,95.25111221473503,59.35139009781705
2026,대전,비수도권,44.66750313676286,10.66499372647428,13.46716854872438,78.0844834797156,16.729401923881223,1.7565872020075282,19.657047260560432,24.341279799247175,8.448347971560016,64.14188334692602,64.50387294825231,75.30687736452731,71.05045162967491,33.40468535973703,73.05764058758189,61.984181604927926,55.03203977905164,65.57450323394893,62.672903983847554
