"전라북도"," 36-44시간",480,470,433,423,426,456
"전라북도"," 45-53시간",166,150,133,125,129,136
"전라북도","*36시간미만",247,276,245,281,309,295
"전라북도"," 54시간 이상",94,87,88,85,84,86
"전라북도","*36시간 이상",739,706,654,632,639,677
"전라북도","일시휴직자",15,16,15,20,17,15
"전라북도","주당평균취업시간 (시간)",37.7,36.8,37.3,35.7,35.5,36.1
"전라북도","1~14시간",77,85,68,102,107,100
"전라북도","15~35시간",170,191,177,180,202,195
"전라북도","36~52시간",644,617,565,545,553,590
"전라북도","53시간이상",96,89,90,88,86,87
"전라남도","계",1007,1008,957,950,986,1001
"전라남도"," 1-17시간",118,119,93,109,138,127
"전라남도"," 18-35시간",165,162,168,175,162,167
"전라남도"," 36-44시간",411,423,405,381,394,406
"전라남도"," 45-53시간",191,184,184,172,177,193
"전라남도","*36시간미만",283,281,261,285,301,294
"전라남도"," 54시간 이상",111,107,92,87,87,93
"전라남도","*36시간 이상",713,714,681,640,658,693
"전라남도","일시휴직자",12,14,14,25,27,14
"전라남도","주당평균취업시간 (시간)",37.8,37.5,37.6,36.3,35.8,36.9
"전라남도","1~14시간",82,81,62,78,98,87
"전라남도","15~35시간",200,200,199,207,203,207
"전라남도","36~52시간",596,600,583,551,567,594
"전라남도","53시간이상",117,113,98,89,91,99
"경상북도","계",1519,1497,1406,1394,1406,1448
"경상북도"," 1-17시간",154,170,177,200,211,171
"경상북도"," 18-35시간",196,191,223,211,190,195
"경상북도"," 36-44시간",703,684,581,582,578,649
"경상북도"," 45-53시간",301,277,273,256,270,277
"경상북도","*36시간미만",350,361,400,412,402,366
"경상북도"," 54시간 이상",150,164,137,123,131,146
"경상북도","*36시간 이상",1153,1125,991,961,979,1072
"경상북도","일시휴직자",16,11,15,21,25,10
"경상북도","주당평균취업시간 (시간)",38.6,38.5,37.2,36.2,36.5,38.0
"경상북도","1~14시간",108,117,123,155,153,126
"경상북도","15~35시간",242,245,277,257,248,240
"경상북도","36~52시간",1002,957,851,836,847,923
"경상북도","53시간이상",152,168,140,125,132,149
"경상남도","계",1837,1843,1794,1786,1796,1823
"경상남도"," 1-17시간",151,141,129,157,158,146
"경상남도"," 18-35시간",303,276,276,269,277,279
"경상남도"," 36-44시간",788,810,802,771,793,791
"경상남도"," 45-53시간",367,368,367,354,328,366
"경상남도","*36시간미만",454,417,404,426,435,425
"경상남도"," 54시간 이상",208,222,191,194,203,207
"경상남도","*36시간 이상",1362,1399,1360,1319,1324,1364
"경상남도","일시휴직자",20,26,30,41,37,34
"경상남도","주당평균취업시간 (시간)",39.1,39.5,39.1,38.5,38.6,39.1
"경상남도","1~14시간",112,99,83,118,112,113
"경상남도","15~35시간",343,319,322,308,323,311
"경상남도","36~52시간",1148,1171,1159,1116,1113,1152
"경상남도","53시간이상",214,229,200,204,211,212
"제주도","계",409,413,397,404,412,414
"제주도"," 1-17시간",42,43,32,45,52,48
"제주도"," 18-35시간",66,71,67,66,72,69
"제주도"," 36-44시간",186,180,184,175,174,183
"제주도"," 45-53시간",65,67,61,61,58,60
"제주도","*36시간미만",108,113,99,112,124,116
"제주도"," 54시간 이상",44,46,46,48,48,47
"제주도","*36시간 이상",294,293,291,284,280,290
"제주도","일시휴직자",7,7,7,9,8,8
"제주도","주당평균취업시간 (시간)",37.7,37.9,38.5,37.3,36.9,37.3
"제주도","1~14시간",25,24,18,28,30,28
"제주도","15~35시간",83,89,82,83,94,89
"제주도","36~52시간",250,247,244,236,231,243
"제주도","53시간이상",44,46,47,48,49,47
