region,metro_area,year,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share,quarter_count,is_complete_year
인천,수도권,2021,61.325,67.4,1628.75,63.9,919.75,2548.5,4.025,74.225,4.2,71.125,76.275,53.85,3.85,51.75,58.4,19.375,20.375,14.829211494777066,17.15726018434377,43.65174137484604,91.67208922784147,81.71262198855837,56.54978303349752,19.678008846393027,5.468957092794808,16.863733704564602,22.31185325006648,10.622838317147437,39.125,41.52203162082638,4,True
전남,비수도권,2021,64.65,69.45,1008.25,66.175,515.75,1523.75,2.375,74.85,2.35,73.1,76.225,57.474999999999994,2.375,56.125,61.775,16.974999999999998,17.375000000000004,9.109425862047669,32.219649701299836,34.499692477150134,78.234732197473,60.51468364385238,39.18436153409333,17.601133777930905,3.702789176601109,30.068165924145546,24.69698595281408,10.951441715999739,38.575,36.156411981947386,4,True
전북,비수도권,2021,61.25,66.075,974.0,62.625,581.75,1555.75,2.2,71.6,2.1,70.125,73.0,53.925,2.35,52.6,58.75,17.525,17.674999999999997,11.153980151653514,29.19036549182351,36.3684383496694,81.38518460246476,65.19865107177533,45.31409244884136,15.500096044735121,4.384462578198861,27.277087051232815,27.961755314110118,12.009144758261579,38.375,40.495236463887466,4,True
제주,비수도권,2021,67.45,71.6,395.5,69.625,172.75,567.75,3.125,75.475,2.775,73.35,76.875,63.8,3.55,61.525,66.075,11.824999999999998,11.675000000000004,12.009608021458252,22.710305140318795,41.71636907709339,86.36317379593739,65.01204606605694,45.04089663243259,13.051436733912007,6.9197126997123375,28.134974527857555,29.361097015456245,14.034842413058326,37.7,49.60806632567426,4,True
충남,비수도권,2021,63.025000000000006,68.2,1220.75,64.5,672.0,1892.25,2.3000000000000003,74.65,2.375,72.875,76.625,53.95,2.2,52.8,58.625,20.075000000000003,20.7,12.983143696106549,23.958399146977015,40.89154981185044,85.04834896933471,68.80591060634876,51.71306604878572,13.370536318955988,3.7223082386070514,24.070639792961668,23.788682823115934,14.215528811568717,39.775,38.65739991764681,4,True
충북,비수도권,2021,63.349999999999994,69.85,920.5,64.95,496.5,1416.25,2.475,73.975,2.55,72.1,77.075,55.8,2.425,54.45,61.975,17.65,18.175000000000004,14.411429413284788,22.857197076194744,38.99203900761481,87.60425141352218,72.62923136101362,52.82004759630558,15.886291343717637,3.9246437322449133,21.69235702673765,24.62304044689689,12.80259415851294,39.2,39.73628209347518,4,True
강원,비수도권,2022,61.849999999999994,67.725,844.25,63.875,477.75,1322.75,3.2,69.4,2.825,67.5,73.275,58.475,3.675,56.4,62.025,11.1,10.924999999999999,11.076916720862686,29.73217950251805,34.96087961842815,81.78621284471541,70.80084708051916,48.70071871721369,17.404649303226797,4.695479060078679,24.078928304141563,31.97604667841661,11.371744404152857,37.1,40.706718952733695,4,True
경기,수도권,2022,63.9,69.975,7808.75,65.7,4074.5,11883.25,2.725,76.45,2.45,74.6,79.45,55.05,3.1,53.325,60.175,21.275,21.4,15.137818140355503,17.061335831114906,44.18296713432673,91.3890709020016,81.28387890329071,60.72101970842013,16.610911960656914,3.951813253824473,16.906070999927394,27.25747808344093,9.126191604793512,38.425,51.04781973790758,4,True
경남,비수도권,2022,61.05,66.45,1800.0,63.125,1051.0,2850.75,3.3,72.85,3.075,70.625,75.15,53.375,3.575,51.45,56.975,19.174999999999997,19.474999999999998,10.760760952093333,25.275636823799047,38.46175458592883,85.36751858684949,69.73491737609241,51.650445061779536,15.125466536612745,2.9590057777001286,24.794628792283742,29.915401343894573,12.288717264063493,38.475,42.0479337876281,4,True
경북,비수도권,2022,62.875,68.2,1499.0,64.45,826.0,2325.25,2.5,74.75,2.375,72.95,76.875,54.15,2.65,52.7,58.5,20.25,20.6,11.068369183056245,30.560460974263055,34.49132731020297,80.5734135090077,63.693900830283624,45.13453470147644,14.303697794035811,4.272424366942958,28.345608215836616,27.922728626526705,11.421591577318779,38.35,39.1236157531432,4,True
광주,비수도권,2022,58.625,64.3,772.75,60.375,507.0,1279.25,2.875,69.475,2.7,67.65,73.15,51.75,3.2,50.075,55.45,17.575000000000003,17.725,14.169497721766993,17.862119663992697,42.90150627724825,90.26841744884773,77.2959089995885,56.76586674849372,16.798002706967207,3.7323922821684397,19.103824096889145,26.8904508751893,11.64015472869967,39.075,50.30122391052241,4,True
대구,비수도권,2022,59.125,66.9,1265.0,60.949999999999996,812.0,2076.75,2.925,70.775,2.55,68.94999999999999,75.19999999999999,51.675,3.4,49.925,58.675,19.025,19.1,13.110229800788854,20.02344190689002,40.71050271299768,89.78572597473746,78.17672203696957,56.6472745000341,16.62585566989915,4.883015735349084,19.72609437636799,27.42738282981417,10.115903685540523,38.275,53.070041945006906,4,True
대전,비수도권,2022,61.599999999999994,67.925,812.75,63.1,475.25,1288.25,2.35,73.075,2.025,71.625,76.85,53.4,2.85,51.875,58.875,19.75,19.675,17.39200392533274,18.110580488404878,41.6218525689368,90.61557349311175,80.04967242707681,60.64313503175686,15.21917359520855,4.2192922803157495,17.617162459949633,29.020241850659524,11.600137459312652,38.15,57.9401096907953,4,True
부산,비수도권,2022,57.125,65.4,1729.75,58.849999999999994,1209.25,2939.25,2.95,68.375,2.975,66.325,73.8,50.125,2.925,48.625,57.175,17.699999999999996,18.250000000000004,13.162840418777193,23.103792737643,39.8742683984477,87.43679773716124,75.87095428228616,51.132700174979995,20.15162466823478,4.616242105049643,21.147800603031246,30.563993528837464,11.206379424649839,38.175,48.553970740989826,4,True
서울,수도권,2022,60.425,68.4,5294.5,62.525,3170.75,8465.5,3.425,71.125,3.425,68.65,75.675,54.8,3.425,52.95,61.65,15.700000000000003,16.325000000000003,17.533523252557828,16.312124263861815,44.48168695692849,91.56799228077921,82.03717378865726,60.38505728642462,17.546711316056445,4.1152220435329205,16.324822839618097,28.683804817080592,10.248559365002953,38.275,61.034742903054884,4,True
