region,metro_area,year,quarter,period,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share
대전,비수도권,2021,1,2021.1/4,59.0,64.7,800.0,62.1,487.0,1287.0,5.1,71.3,4.5,68.1,72.6,53.2,6.0,50.0,56.7,18.099999999999994,18.099999999999994,17.12779973649539,16.469038208168644,43.61001317523056,91.56785243741766,79.97364953886694,58.89328063241107,16.337285902503293,4.743083003952568,17.391304347826086,21.60737812911726,11.857707509881422,38.7,52.17391304347826
부산,비수도권,2021,1,2021.1/4,54.9,62.5,1695.0,57.5,1253.0,2948.0,4.5,66.6,4.2,63.9,70.6,49.0,5.0,46.6,54.7,17.299999999999997,17.599999999999994,13.473423980222496,21.013597033374538,40.60568603213844,88.8133498145859,74.47466007416563,52.41038318912238,16.9344870210136,5.067985166872682,22.18788627935723,22.62051915945612,11.248454882571075,38.4,47.83683559950556
서울,수도권,2021,1,2021.1/4,58.1,65.3,5284.0,61.9,3256.0,8540.0,6.1,70.7,5.6,66.7,73.4,53.8,6.7,50.2,57.7,16.5,16.900000000000006,17.6008064516129,15.28225806451613,45.564516129032256,92.2782258064516,82.03629032258064,60.16129032258064,16.995967741935484,4.879032258064516,16.310483870967744,20.705645161290324,10.383064516129032,38.8,60.82661290322581
세종,비수도권,2021,1,2021.1/4,61.3,65.7,186.0,63.4,108.0,294.0,3.2,74.5,2.9,72.3,76.0,52.3,3.6,50.4,55.1,21.9,22.200000000000003,13.333333333333334,10.0,58.88888888888889,95.0,83.33333333333334,72.22222222222221,10.555555555555555,1.1111111111111112,14.444444444444443,17.22222222222222,11.11111111111111,39.7,73.88888888888889
울산,비수도권,2021,1,2021.1/4,56.9,62.0,577.0,59.8,387.0,964.0,4.9,72.1,4.6,68.8,74.1,47.0,5.5,44.5,48.8,24.299999999999997,25.099999999999994,11.657559198542804,15.1183970856102,46.26593806921676,92.53187613843352,81.9672131147541,63.20582877959927,16.029143897996356,2.73224043715847,16.029143897996356,19.489981785063755,12.386156648451731,39.8,47.540983606557376
인천,수도권,2021,1,2021.1/4,60.1,66.4,1619.0,63.5,930.0,2550.0,5.4,73.3,5.5,69.3,74.7,53.9,5.3,51.0,58.0,18.299999999999997,19.4,14.761593729588505,16.002612671456564,45.26453298497714,92.61920313520575,81.319399085565,56.23775310254735,19.921619856303067,5.160026126714565,17.243631613324624,19.13781841933377,10.77726975832789,39.2,42.78249510124102
전남,비수도권,2021,1,2021.1/4,62.2,67.6,984.0,64.6,540.0,1523.0,3.8,74.4,3.4,71.9,75.1,54.8,4.3,52.4,59.2,19.500000000000007,19.60000000000001,8.764519535374868,30.517423442449843,36.325237592397045,79.5142555438226,59.87328405491025,40.12671594508976,16.261879619852166,3.37909186906019,30.834213305174234,26.399155227032733,9.714889123548048,37.5,36.536430834213306
전북,비수도권,2021,1,2021.1/4,59.4,65.1,950.0,61.1,605.0,1555.0,2.8,71.1,2.2,69.6,73.3,51.4,3.7,49.4,56.5,20.199999999999996,19.699999999999996,10.942578548212351,27.302275189599136,37.91982665222102,83.09859154929578,65.43878656554712,46.37053087757313,14.517876489707476,4.550379198266522,27.735644637053085,28.38569880823402,11.159263271939327,37.4,40.08667388949079
제주,비수도권,2021,1,2021.1/4,66.3,70.7,391.0,69.1,175.0,566.0,4.0,74.4,3.4,71.8,75.1,63.8,4.6,60.8,66.1,11.0,10.600000000000009,12.0,21.866666666666667,42.66666666666667,87.2,64.8,44.800000000000004,12.266666666666666,7.733333333333333,28.26666666666667,26.400000000000002,14.933333333333335,37.8,49.333333333333336
충남,비수도권,2021,1,2021.1/4,59.0,65.4,1158.0,61.3,731.0,1889.0,3.7,71.9,3.8,69.1,73.9,50.3,3.5,48.6,55.8,20.499999999999993,21.60000000000001,13.542600896860987,21.434977578475337,42.152466367713004,87.3542600896861,70.04484304932735,53.27354260089686,13.452914798206278,3.3183856502242155,23.766816143497756,21.883408071748878,14.618834080717487,39.8,39.28251121076233
